Year,Round,Pick,Player,Team,Week,Wins,Games_Played,Week_Type
2021,1,1,Dan,Buccaneers,17,12,16,RegSsn
2021,1,1,Dan,Buccaneers,18,13,17,RegSsn
2021,1,1,Dan,Buccaneers,Wild Card,14,18,Playoffs
2021,1,1,Dan,Buccaneers,Division,14,19,Playoffs
2021,1,2,Brandon,Chiefs,1,1,1,RegSsn
2021,1,2,Brandon,Chiefs,2,1,2,RegSsn
2021,1,2,Brandon,Chiefs,3,1,3,RegSsn
2021,1,2,Brandon,Chiefs,4,2,4,RegSsn
2021,1,2,Brandon,Chiefs,5,2,5,RegSsn
2021,1,2,Brandon,Chiefs,6,3,6,RegSsn
2021,1,2,Brandon,Chiefs,7,3,7,RegSsn
2021,1,2,Brandon,Chiefs,8,4,8,RegSsn
2021,1,2,Brandon,Chiefs,9,5,9,RegSsn
2021,1,2,Brandon,Chiefs,10,6,10,RegSsn
2021,1,2,Brandon,Chiefs,11,7,11,RegSsn
2021,1,2,Brandon,Chiefs,12,7,11,Bye Week
2021,1,2,Brandon,Chiefs,13,8,12,RegSsn
2021,1,2,Brandon,Chiefs,14,9,13,RegSsn
2021,1,2,Brandon,Chiefs,15,10,14,RegSsn
2021,1,2,Brandon,Chiefs,16,11,15,RegSsn
2021,1,2,Brandon,Chiefs,17,11,16,RegSsn
2021,1,2,Brandon,Chiefs,18,12,17,RegSsn
2021,1,2,Brandon,Chiefs,Wild Card,13,18,Playoffs
2021,1,2,Brandon,Chiefs,Division,14,19,Playoffs
2021,1,2,Brandon,Chiefs,Conf. Champ.,14,20,Playoffs
2021,1,3,JP,Bills,1,0,1,RegSsn
2021,1,3,JP,Bills,2,1,2,RegSsn
2021,1,3,JP,Bills,3,2,3,RegSsn
2021,1,3,JP,Bills,4,3,4,RegSsn
2021,1,3,JP,Bills,5,4,5,RegSsn
2021,1,3,JP,Bills,6,4,6,RegSsn
2021,1,3,JP,Bills,7,4,6,Bye Week
2021,1,3,JP,Bills,8,5,7,RegSsn
2021,1,3,JP,Bills,9,5,8,RegSsn
2021,1,3,JP,Bills,10,6,9,RegSsn
2021,1,3,JP,Bills,11,6,10,RegSsn
2021,1,3,JP,Bills,12,7,11,RegSsn
2021,1,3,JP,Bills,13,7,12,RegSsn
2021,1,3,JP,Bills,14,7,13,RegSsn
2021,1,3,JP,Bills,15,8,14,RegSsn
2021,1,3,JP,Bills,16,9,15,RegSsn
2021,1,3,JP,Bills,17,10,16,RegSsn
2021,1,3,JP,Bills,18,11,17,RegSsn
2021,1,3,JP,Bills,Wild Card,12,18,Playoffs
2021,1,3,JP,Bills,Division,12,19,Playoffs
2021,1,4,Jordan,Rams,1,1,1,RegSsn
2021,1,4,Jordan,Rams,2,2,2,RegSsn
2021,1,4,Jordan,Rams,3,3,3,RegSsn
2021,1,4,Jordan,Rams,4,3,4,RegSsn
2021,1,4,Jordan,Rams,5,4,5,RegSsn
2021,1,4,Jordan,Rams,6,5,6,RegSsn
2021,1,4,Jordan,Rams,7,6,7,RegSsn
2021,1,4,Jordan,Rams,8,7,8,RegSsn
2021,1,4,Jordan,Rams,9,7,9,RegSsn
2021,1,4,Jordan,Rams,10,7,10,RegSsn
2021,1,4,Jordan,Rams,11,7,10,Bye Week
2021,1,4,Jordan,Rams,12,7,11,RegSsn
2021,1,4,Jordan,Rams,13,8,12,RegSsn
2021,1,4,Jordan,Rams,14,9,13,RegSsn
2021,1,4,Jordan,Rams,15,10,14,RegSsn
2021,1,4,Jordan,Rams,16,11,15,RegSsn
2021,1,4,Jordan,Rams,17,12,16,RegSsn
2021,1,4,Jordan,Rams,18,12,17,RegSsn
2021,1,4,Jordan,Rams,Wild Card,13,18,Playoffs
2021,1,4,Jordan,Rams,Division,14,19,Playoffs
2021,1,4,Jordan,Rams,Conf. Champ.,15,20,Playoffs
2021,1,4,Jordan,Rams,SuperBowl,16,21,Playoffs
2021,1,5,Mike,Patriots,1,0,1,RegSsn
2021,1,5,Mike,Patriots,2,1,2,RegSsn
2021,1,5,Mike,Patriots,3,1,3,RegSsn
2021,1,5,Mike,Patriots,4,1,4,RegSsn
2021,1,5,Mike,Patriots,5,2,5,RegSsn
2021,1,5,Mike,Patriots,6,2,6,RegSsn
2021,1,5,Mike,Patriots,7,3,7,RegSsn
2021,1,5,Mike,Patriots,8,4,8,RegSsn
2021,1,5,Mike,Patriots,9,5,9,RegSsn
2021,1,5,Mike,Patriots,10,6,10,RegSsn
2021,1,5,Mike,Patriots,11,7,11,RegSsn
2021,1,5,Mike,Patriots,12,8,12,RegSsn
2021,1,5,Mike,Patriots,13,9,13,RegSsn
2021,1,5,Mike,Patriots,14,9,13,Bye Week
2021,1,5,Mike,Patriots,15,9,14,RegSsn
2021,1,5,Mike,Patriots,16,9,15,RegSsn
2021,1,5,Mike,Patriots,17,10,16,RegSsn
2021,1,5,Mike,Patriots,18,10,17,RegSsn
2021,1,5,Mike,Patriots,Wild Card,10,18,Playoffs
2021,1,6,Jackson,Packers,1,0,1,RegSsn
2021,1,6,Jackson,Packers,2,1,2,RegSsn
2021,1,6,Jackson,Packers,3,2,3,RegSsn
2021,1,6,Jackson,Packers,4,3,4,RegSsn
2021,1,6,Jackson,Packers,5,4,5,RegSsn
2021,1,6,Jackson,Packers,6,5,6,RegSsn
2021,1,6,Jackson,Packers,7,6,7,RegSsn
